Job_ID,Company Name,Role,Experience,Skill_1,Skill_2,Skill_3,Vacancy,Stream,Job Location,Salary,Website,Logo
1,Zoho Corporation,Software Developer,0,Java,C++,Python,20,Any Stream,"Chennai,Bangalore",7.5,https://www.zoho.com/,https://www.zoho.com/branding/images/zoho-logo.png
2,Zoho Corporation,UI/UX Designer,0,Figma,XD,Photoshop,15,Any Stream,"Chennai,Bangalore",6,https://www.zoho.com/,https://www.zoho.com/branding/images/zoho-logo.png
3,Zoho Corporation,Web Developer,0,HTML,CSS,JavaScript,18,Any Stream,"Chennai,Bangalore",6,https://www.zoho.com/,https://www.zoho.com/branding/images/zoho-logo.png
4,Virtusa,Software Developer,1,C++,Java,Python,18,Any Stream,"Chennai,Mumbai,Hyderabad",5.6,https://www.virtusa.com/,https://www.needhamco.com/wp-content/uploads/2018/06/virtusa.png
5,Virtusa,Data Scientist,3,Python,Azure Machine Learning,T-SQL,12,Any Stream,"Chennai,Mumbai,Hyderabad",5.6,https://www.virtusa.com/,https://www.needhamco.com/wp-content/uploads/2018/06/virtusa.png
6,Virtusa,.NET Developer,0,ASP.NET,C#,C,14,Any Stream,"Chennai,Mumbai,Hyderabad",5.6,https://www.virtusa.com/,https://www.needhamco.com/wp-content/uploads/2018/06/virtusa.png
7,Aspire Systems,Web Developer,2,HTML,CSS,JavaScript,50,"IT,CSE,ECE,EEE,MECH",Chennai,4.5,https://www.aspiresys.com/,https://www.pngitem.com/pimgs/m/87-876801_transparent-aspire-logo-png-aspire-systems-logo-png.png
8,Aspire Systems,Software Developer,0,Java,C++,Python,20,Any Stream,Chennai,4.5,https://www.aspiresys.com/,https://www.pngitem.com/pimgs/m/87-876801_transparent-aspire-logo-png-aspire-systems-logo-png.png
9,Aspire Systems,Senior Software Developer,0,C#,SQL Server,MongoDB,25,"IT,CSE,ECE,EEE,MECH",Chennai,4.5,https://www.aspiresys.com/,https://www.pngitem.com/pimgs/m/87-876801_transparent-aspire-logo-png-aspire-systems-logo-png.png
10,DXC Tech,Software Developer,1,C,Angular,Java,20,"IT,CSE,ECE,EEE",Coimbatore,4,https://dxc.com/us/en,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/DXC_Technology_logo_%282021%29.svg/1200px-DXC_Technology_logo_%282021%29.svg.png
